Kabupaten/Kota,Jumlah Kasus,Tahun
Kabupaten Bogor,318,2018
Kabupaten Sukabumi,112,2018
Kabupaten Cianjur,124,2018
Kabupaten Bandung,219,2018
Kabupaten Garut,107,2018
Kabupaten Tasikmalaya,40,2018
Kabupaten Ciamis,66,2018
Kabupaten Kuningan,78,2018
Kabupaten Cirebon,278,2018
Kabupaten Majalengka,92,2018
Kabupaten Sumedang,61,2018
Kabupaten Indramayu,407,2018
Kabupaten Subang,230,2018
Kabupaten Purwakarta,194,2018
Kabupaten Karawang,92,2018
Kabupaten Bekasi,203,2018
Kabupaten Bandung Barat,71,2018
Kabupaten Pangandaran,38,2018
Kota Bogor,446,2018
Kota Sukabumi,161,2018
Kota Bandung,1054,2018
Kota Cirebon,65,2018
Kota Bekasi,360,2018
Kota Depok,227,2018
Kota Cimahi,104,2018
Kota Tasikmalaya,121,2018
Kota Banjar,7,2018
Kabupaten Bogor,475,2019
Kabupaten Sukabumi,112,2019
Kabupaten Cianjur,0,2019
Kabupaten Bandung,179,2019
Kabupaten Garut,0,2019
Kabupaten Tasikmalaya,77,2019
Kabupaten Ciamis,95,2019
Kabupaten Kuningan,91,2019
Kabupaten Cirebon,257,2019
Kabupaten Majalengka,97,2019
Kabupaten Sumedang,104,2019
Kabupaten Indramayu,151,2019
Kabupaten Subang,339,2019
Kabupaten Purwakarta,197,2019
Kabupaten Karawang,255,2019
Kabupaten Bekasi,222,2019
Kabupaten Bandung Barat,36,2019
Kabupaten Pangandaran,26,2019
Kota Bogor,443,2019
Kota Sukabumi,57,2019
Kota Bandung,357,2019
Kota Cirebon,189,2019
Kota Bekasi,335,2019
Kota Depok,247,2019
Kota Cimahi,44,2019
Kota Tasikmalaya,105,2019
Kota Banjar,47,2019
Kabupaten Bogor,417,2020
Kabupaten Sukabumi,110,2020
Kabupaten Cianjur,189,2020
Kabupaten Bandung,176,2020
Kabupaten Garut,5,2020
Kabupaten Tasikmalaya,95,2020
Kabupaten Ciamis,62,2020
Kabupaten Kuningan,48,2020
Kabupaten Cirebon,251,2020
Kabupaten Majalengka,87,2020
Kabupaten Sumedang,100,2020
Kabupaten Indramayu,275,2020
Kabupaten Subang,247,2020
Kabupaten Purwakarta,234,2020
Kabupaten Karawang,315,2020
Kabupaten Bekasi,134,2020
Kabupaten Bandung Barat,67,2020
Kabupaten Pangandaran,16,2020
Kota Bogor,364,2020
Kota Sukabumi,41,2020
